Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk
Barry PLC,Multi-Cloud Management,12 months,ISO 27001,99.9%,30,34343,3743,38086,0.0848165249348014,0.4362893592936943,0.5399482272213844
Davis-Torres,Cloud Optimization,24 months,ISO 27001,99.95%,45,21092,3406,24498,0.13017427532473988,0.6442414008259819,0.020340831067600984
Hernandez PLC,Cloud Optimization,24 months,FedRAMP,99.9%,60,27049,3685,30734,0.038611684529505814,0.3814410821056089,0.35616696531444303
"Navarro, Gonzalez and Cooper",AI-Powered Security,12 months,FedRAMP,99.9%,90,33077,1005,34082,0.12186037260469729,0.47648320785527043,0.8527299652785476
Warren-Zimmerman,AI-Powered Security,36 months,SOC2,99.95%,30,21335,4874,26209,0.14548883603489152,0.634453139755603,0.7640555898524384
"Powers, Huffman and Rodriguez",AI-Powered Security,24 months,FedRAMP,99.95%,45,22858,2463,25321,0.054087746488237005,0.8724556312513081,0.8766795187083262
"Turner, Hall and Solomon",AI-Powered Security,36 months,FedRAMP,99.9%,45,22806,1369,24175,0.0830557084333058,0.9380281273644674,0.7239998741195626
"Hubbard, Santiago and Bell",Cloud Optimization,24 months,SOC2,99.95%,90,28606,3453,32059,0.06160143724240505,0.2796614070149861,0.6097240475222925
Smith-White,Multi-Cloud Management,12 months,ISO 27001,99.9%,45,38222,1860,40082,0.1324217698301056,0.18413002308118487,0.8403615053853187
Mason-Franco,Cloud Optimization,24 months,ISO 27001,99.9%,30,21452,761,22213,0.010715757451324248,0.7262864640181202,0.5110526677945765
"Stout, Moody and Griffin",Cloud Optimization,24 months,SOC2,99.99%,30,19782,4352,24134,0.03301941312536462,0.8363692930100863,0.6899911963543062
Rodriguez-Soto,Multi-Cloud Management,24 months,SOC2,99.95%,30,32523,4813,37336,0.03936844544773355,0.32859216302805483,0.10790571722297615
Silva and Sons,Cloud Optimization,36 months,SOC2,99.9%,30,24109,1633,25742,0.1439892180875252,0.3350491709384824,0.778545821422689
Johnson-Strong,AI-Powered Security,24 months,SOC2,99.9%,60,28961,1821,30782,0.0310608263085365,0.3770354967931787,0.00805828889553517
"Thomas, Rasmussen and Duke",Multi-Cloud Management,12 months,ISO 27001,99.95%,60,39865,1448,41313,0.09713738164064675,0.0036129325342386664,0.25369429508851193
Crawford LLC,Multi-Cloud Management,12 months,HIPAA,99.95%,60,27749,4222,31971,0.016830205014846427,0.9905652127567347,0.28039417859035054
Morrow PLC,Multi-Cloud Management,36 months,SOC2,99.95%,60,23405,3170,26575,0.05204506134367257,0.20838520325645182,0.44562069209993216
Chapman-Goodman,Cloud Optimization,24 months,FedRAMP,99.95%,60,23396,4079,27475,0.0583146978175365,0.3869990592543089,0.5035817774144603
Jones-White,Cloud Optimization,12 months,FedRAMP,99.95%,45,29145,1590,30735,0.11901623870581984,0.03433217114285325,0.9825642005854273
"Hart, Black and Lee",AI-Powered Security,24 months,HIPAA,99.9%,90,25645,1778,27423,0.04191527554703447,0.241031737903611,0.49752001045344574
"Mills, Cruz and Phillips",Cloud Optimization,36 months,ISO 27001,99.9%,45,24278,4840,29118,0.1307371087881724,0.033821287571519254,0.4043300593475422
Elliott-Wilson,AI-Powered Security,24 months,FedRAMP,99.9%,60,19151,1717,20868,0.03677309191571152,0.5056657430843782,0.03234528791889757
Cole-Green,AI-Powered Security,24 months,SOC2,99.95%,45,30541,4878,35419,0.10309149175806473,0.3204499303747612,0.19873666387015676
Bradley-Mays,Multi-Cloud Management,36 months,SOC2,99.9%,60,29950,597,30547,0.14071774958950534,0.9662537072400896,0.9738018532829988
Wheeler and Sons,Multi-Cloud Management,36 months,ISO 27001,99.95%,90,22569,2272,24841,0.08374147866058737,0.8613627189565668,0.8311347654036959
Christian Group,Multi-Cloud Management,36 months,FedRAMP,99.95%,30,31800,1239,33039,0.01967343359478881,0.9692946620490801,0.9841396470417361
"Ramirez, Cox and Stanton",AI-Powered Security,12 months,SOC2,99.95%,60,27958,2341,30299,0.006706541183234477,0.2680089836852235,0.053776905333052016
Hernandez-Miller,Multi-Cloud Management,12 months,SOC2,99.95%,45,36234,1571,37805,0.0829411122283878,0.8593602247528214,0.10157214364466127
Ortiz and Sons,Cloud Optimization,12 months,FedRAMP,99.95%,30,19174,4444,23618,0.007898363917661988,0.14170383802737185,0.5982487928791823
Hart Group,Multi-Cloud Management,24 months,FedRAMP,99.9%,30,36845,3401,40246,0.04742260376674928,0.48390349302184144,0.8140548723120092
"Carpenter, Roberts and Weber",Cloud Optimization,24 months,HIPAA,99.95%,60,27011,3843,30854,0.00446711809813814,0.9335243127166306,0.5267497498807476
Knight-Harris,Multi-Cloud Management,36 months,FedRAMP,99.99%,90,39266,3311,42577,0.060062469175624106,0.6382509853969889,0.8857616941126193
Fernandez Group,AI-Powered Security,24 months,FedRAMP,99.95%,45,27729,2837,30566,0.1358364088494853,0.159642867815183,0.02859483835944232
Santiago PLC,AI-Powered Security,36 months,ISO 27001,99.95%,60,33552,3228,36780,0.015796883863471327,0.6834161322937092,0.6060100737471432
Haynes LLC,Cloud Optimization,36 months,ISO 27001,99.99%,30,15293,3188,18481,0.029760109386857456,0.4724603288539476,0.4916133448403307
"Washington, Choi and Holland",Multi-Cloud Management,12 months,HIPAA,99.9%,60,28641,2838,31479,0.06345216693626439,0.5573450647164668,0.888592494623292
Hill LLC,Multi-Cloud Management,24 months,SOC2,99.9%,90,30528,1735,32263,0.14853748018817992,0.3746728898419822,0.25240958507030586
Smith PLC,Multi-Cloud Management,12 months,SOC2,99.99%,45,23683,2761,26444,0.13105637630887287,0.7894550890321684,0.6737446300480178
Smith PLC,Multi-Cloud Management,24 months,SOC2,99.99%,45,20862,4555,25417,0.08149170448771584,0.5773116331683574,0.7050172124034887
Case and Sons,Multi-Cloud Management,24 months,SOC2,99.9%,60,32956,4064,37020,0.0713476476677455,0.6450974456426533,0.5574745489756537
"Morgan, Powers and Hess",AI-Powered Security,24 months,ISO 27001,99.99%,45,33437,971,34408,0.06742229477781421,0.24167122597260104,0.0014182201339154599
"Coleman, Moore and Gonzalez",Cloud Optimization,12 months,FedRAMP,99.9%,90,25908,1315,27223,0.04786499448552834,0.8528345731854773,0.2200950402742703
Williams Group,AI-Powered Security,12 months,FedRAMP,99.95%,45,25354,3029,28383,0.038163073679330146,0.07227417004119985,0.7446407963452062
Merritt-Yoder,Cloud Optimization,24 months,HIPAA,99.99%,30,17818,2369,20187,0.042982109783072556,0.9722598017417107,0.558516153160825
"Kelly, Guerra and Russell",AI-Powered Security,12 months,ISO 27001,99.9%,60,27345,1342,28687,0.10462092479637003,0.052243663695964004,0.5342484229228254
Montgomery Group,Cloud Optimization,12 months,ISO 27001,99.99%,45,25327,610,25937,0.07298500254119074,0.8631309158390641,0.4485256078824824
"Rice, Clark and Burns",Cloud Optimization,24 months,HIPAA,99.95%,45,15105,4053,19158,0.012849629107045934,0.9468673974959648,0.2917238871803609
Pham Ltd,Multi-Cloud Management,12 months,HIPAA,99.99%,90,24074,1406,25480,0.07491068420703668,0.4747277852704834,0.11002124299147664
Bruce and Sons,Multi-Cloud Management,36 months,HIPAA,99.95%,30,37326,657,37983,0.061948809028933134,0.15134125869153303,0.785331691138784
Galloway PLC,Cloud Optimization,12 months,SOC2,99.99%,45,19799,1147,20946,0.032022687554795266,0.9058691063099717,0.8990237272133664
"Bauer, Smith and Proctor",AI-Powered Security,12 months,FedRAMP,99.9%,90,33060,3361,36421,0.06250020748801424,0.2191615537379652,0.7207522182776344
Harris-Lopez,AI-Powered Security,24 months,SOC2,99.9%,30,18178,2225,20403,0.11836109743225404,0.7240087921615539,0.18596322405813182
Bradshaw-George,Multi-Cloud Management,36 months,HIPAA,99.95%,90,21217,2974,24191,0.04083713045557069,0.08086974583210604,0.65682230651421
"Burton, Woodward and Rogers",Cloud Optimization,36 months,FedRAMP,99.99%,45,29501,927,30428,0.10176400005131053,0.7300751666033292,0.21291728560430567
"Lyons, Stewart and Munoz",AI-Powered Security,24 months,FedRAMP,99.95%,60,29493,542,30035,0.028913148283055932,0.5747556906554043,0.32810347584182176
Young Group,Cloud Optimization,36 months,FedRAMP,99.95%,60,20244,2196,22440,0.0722523483682788,0.05583822087647439,0.9777235118726436
"Nielsen, Watson and Collins",AI-Powered Security,24 months,HIPAA,99.9%,90,18295,913,19208,0.11381456260528162,0.1907172530047453,0.5682083407874908
Delacruz-Turner,AI-Powered Security,24 months,HIPAA,99.9%,60,23482,4389,27871,0.050716198688955404,0.10735397464609964,0.6972196608085894
"Clayton, Espinoza and Williams",Cloud Optimization,24 months,HIPAA,99.99%,45,23425,907,24332,0.0532699822973686,0.28102792627020245,0.2623158501655346
Jones-Davis,Cloud Optimization,12 months,HIPAA,99.9%,30,20530,4424,24954,0.10401387630244101,0.2508041325008964,0.25283378316516125
Long and Sons,Cloud Optimization,24 months,HIPAA,99.99%,90,29604,1511,31115,0.11183765073342869,0.9776677176990604,0.5948555014630229
Ramirez-Hunter,Cloud Optimization,12 months,FedRAMP,99.95%,60,16486,3839,20325,0.11972744843622643,0.12720411933778086,0.3959410958139741
"Barber, Jones and Crawford",Cloud Optimization,36 months,ISO 27001,99.95%,90,17503,3637,21140,0.04687581854778037,0.17441054321641503,0.5890389406083405
Kane and Sons,AI-Powered Security,24 months,FedRAMP,99.95%,60,26428,1427,27855,0.026326717869824424,0.2471747445945176,0.9737482141179605
"Snow, Weaver and Carr",Cloud Optimization,36 months,FedRAMP,99.95%,90,29701,1750,31451,0.005211321888349041,0.4687335268214602,0.39865928751841206
Taylor-Rivera,Cloud Optimization,36 months,FedRAMP,99.9%,30,22216,4020,26236,0.09368379538760917,0.9629759423644857,0.8315349724468752
Ellison and Sons,Multi-Cloud Management,12 months,HIPAA,99.99%,60,21567,1594,23161,0.019652183165042164,0.6989851081744856,0.4562400440533355
Dillon-Pierce,Multi-Cloud Management,12 months,HIPAA,99.99%,30,34038,1854,35892,0.14775146217441693,0.09625058323772562,0.28573142856578126
"Butler, Carr and Gill",Cloud Optimization,12 months,FedRAMP,99.99%,45,21973,3534,25507,0.12214417790213289,0.7530102006876256,0.913735675109942
Robertson-Lambert,AI-Powered Security,36 months,HIPAA,99.9%,30,25994,4031,30025,0.006651631884350883,0.3224412708166363,0.5691747911964067
Conner LLC,Cloud Optimization,12 months,ISO 27001,99.95%,60,20482,1832,22314,0.03016172816908078,0.9072470690754986,0.26396673673559257
"Orr, Dudley and Flores",AI-Powered Security,36 months,FedRAMP,99.99%,90,26709,1938,28647,0.015524625539035152,0.25350618892501464,0.9189793255003985
Chambers-Armstrong,Cloud Optimization,24 months,SOC2,99.95%,90,26341,1281,27622,0.11465988038438613,0.8398595726740419,0.2921768033820449
Morris PLC,AI-Powered Security,12 months,HIPAA,99.99%,60,29967,2082,32049,0.024011348845305234,0.09770410369059346,0.5209845425084006
Brown Group,Cloud Optimization,12 months,FedRAMP,99.95%,90,19930,4853,24783,0.0774493083762962,0.6915703777680562,0.04792517595602408
Boyd and Sons,Cloud Optimization,24 months,HIPAA,99.95%,30,22935,3175,26110,0.01627916858368326,0.5246913414192697,0.7584085300912828
Browning-Martinez,Cloud Optimization,24 months,SOC2,99.9%,30,29959,2194,32153,0.025968815874773364,0.047811063702479784,0.2464598696375051
"Graham, Weber and Morrison",AI-Powered Security,12 months,ISO 27001,99.95%,90,19460,4387,23847,0.110249465744186,0.061861424383293784,0.7446314438540483
Bryant-White,AI-Powered Security,24 months,HIPAA,99.9%,60,20369,1305,21674,0.046466934997169425,0.8730063079555649,0.33691383659146046
Lopez LLC,Cloud Optimization,12 months,ISO 27001,99.9%,60,21372,2126,23498,0.14231950688379894,0.35715758957622823,0.6518649476671875
Sanders LLC,AI-Powered Security,24 months,SOC2,99.99%,90,34240,1758,35998,0.10543489242351216,0.08674327262335257,0.11704458137676954
"Wilson, Henderson and Molina",Multi-Cloud Management,12 months,FedRAMP,99.9%,45,24882,4892,29774,0.09698959257037056,0.350718509454251,0.2733839181137786
"Brown, Coleman and Hansen",Cloud Optimization,12 months,ISO 27001,99.9%,45,24923,2946,27869,0.13960668334988152,0.7622325620441929,0.5204087646825987
Curtis Group,Multi-Cloud Management,36 months,ISO 27001,99.95%,60,25059,4828,29887,0.09758324682183593,0.39486652314429216,0.6083842168165255
"Weaver, Nash and Martinez",Cloud Optimization,36 months,ISO 27001,99.99%,60,16865,4811,21676,0.015542818149744985,0.8370744458190945,0.5503023934359592
"Brown, Johnson and Odom",Multi-Cloud Management,12 months,HIPAA,99.99%,60,29262,4987,34249,0.017894937090271866,0.10280856173585395,0.07748729013574951
Vaughn-Smith,AI-Powered Security,36 months,HIPAA,99.9%,60,33939,4325,38264,0.07469070800934094,0.39883661483975574,0.7503889270907016
Aguirre-Peters,AI-Powered Security,24 months,HIPAA,99.99%,60,27622,2413,30035,0.01115935286462773,0.020906354400268667,0.9515290453762563
Hughes Group,Cloud Optimization,12 months,FedRAMP,99.99%,45,27948,1634,29582,0.11053697979562739,0.6939870698193193,0.33684999693537665
"Young, Miles and Cooper",Multi-Cloud Management,12 months,HIPAA,99.95%,60,28774,2321,31095,0.10362114364591025,0.5749706273967218,0.17676022910104927
Shah-Peters,Multi-Cloud Management,36 months,ISO 27001,99.95%,30,32137,2826,34963,0.024598195793830574,0.4634777312306678,0.6056532718215968
Schwartz PLC,AI-Powered Security,36 months,SOC2,99.9%,60,26361,3245,29606,0.048145903916325096,0.4193469939259066,0.5939374438586043
"Barnes, Macdonald and Green",Cloud Optimization,36 months,ISO 27001,99.95%,45,25340,2188,27528,0.06481543461174422,0.5519012184951724,0.8332217713715006
"Weber, Johnson and Hall",Cloud Optimization,24 months,HIPAA,99.99%,90,17796,2993,20789,0.10198162308346322,0.2653511716753909,0.33034509176499194
Wood LLC,Cloud Optimization,12 months,HIPAA,99.99%,45,29468,4098,33566,0.06979178580180109,0.656731206223462,0.14670057583365992
"Hall, Mcdonald and Rich",Multi-Cloud Management,24 months,ISO 27001,99.95%,90,22438,3483,25921,0.1344872003945983,0.299913048477067,0.1818269962411515
"Bailey, Lloyd and Buckley",Multi-Cloud Management,12 months,ISO 27001,99.9%,90,32222,2677,34899,0.09109868883865889,0.0002406697429022664,0.8054737346798247
Davis-Moss,Cloud Optimization,36 months,FedRAMP,99.99%,45,18667,1553,20220,0.02807679134827354,0.8006236564128154,0.9721565095347499
"Hart, Clarke and Young",AI-Powered Security,24 months,ISO 27001,99.95%,30,29140,2127,31267,0.12138571075120216,0.551704752595235,0.3167486486502119
Anderson LLC,AI-Powered Security,36 months,HIPAA,99.9%,90,21520,3811,25331,0.12403858634502915,0.15631722139923787,0.34381290363508943
Stevens-Anderson,AI-Powered Security,36 months,SOC2,99.95%,60,21730,4865,26595,0.04540658536864068,0.4860450744832292,0.42202356596968715
Ross-Rice,AI-Powered Security,24 months,SOC2,99.95%,60,27260,1341,28601,0.009497887045848141,0.9859616844014174,0.031534628131224096
Brown PLC,Multi-Cloud Management,36 months,FedRAMP,99.99%,30,25614,3594,29208,0.14690935953993592,0.2577658868622231,0.45884133960278317
Sanchez LLC,Multi-Cloud Management,12 months,SOC2,99.95%,30,38637,4161,42798,0.037259491310090716,0.7589344062270534,0.11823817572626327
Carney Group,AI-Powered Security,24 months,FedRAMP,99.95%,45,34279,3799,38078,0.133015876281364,0.7319041990130318,0.5609272460442614
Lee LLC,Cloud Optimization,36 months,SOC2,99.99%,45,28821,4166,32987,0.009012773583409716,0.9729019711967063,0.46543897060032313
"Hess, Bradshaw and Roberts",Multi-Cloud Management,36 months,SOC2,99.99%,90,31336,4810,36146,0.11349037474407819,0.8324894744194485,0.8805824431209666
Murphy Ltd,Multi-Cloud Management,24 months,ISO 27001,99.99%,60,30864,4146,35010,0.10106457519446617,0.38690835768434906,0.6828276445685459
"Clark, Burns and Sharp",AI-Powered Security,12 months,ISO 27001,99.99%,30,23432,1187,24619,0.01981476025931103,0.12661982904502367,0.8154294940115683
Owens and Sons,Multi-Cloud Management,36 months,ISO 27001,99.99%,30,26891,2624,29515,0.07810556730594202,0.829037614742618,0.0398390908380597
Morgan LLC,Multi-Cloud Management,36 months,FedRAMP,99.95%,30,23209,4049,27258,0.11285421635960881,0.7927004505613187,0.23303305335024027
Morrison PLC,Cloud Optimization,12 months,FedRAMP,99.99%,60,16712,2829,19541,0.0691433271169774,0.7083908550348353,0.08971137605303403
Bridges-Sweeney,Cloud Optimization,24 months,SOC2,99.95%,30,15300,4482,19782,0.02203845406509095,0.5731349346540705,0.9774742783005703
Bryan-Jacobson,Multi-Cloud Management,24 months,ISO 27001,99.95%,90,33818,1889,35707,0.060628820128002095,0.7018555106506201,0.03880452403094514
Larsen Group,AI-Powered Security,36 months,FedRAMP,99.95%,30,27131,3682,30813,0.01786500864140334,0.08044320020933426,0.15650789908045648
Stein LLC,Cloud Optimization,36 months,SOC2,99.9%,30,22675,622,23297,0.06622601149337566,0.5181849423431099,0.5218157013832556
Wise-Phillips,Cloud Optimization,36 months,HIPAA,99.95%,45,29448,2972,32420,0.10571804802603979,0.3210134439286336,0.5756613962717123
"Quinn, Weber and Parsons",Multi-Cloud Management,36 months,SOC2,99.95%,45,29454,1862,31316,0.08740857609258737,0.1492111479631686,0.8376369886828723
Mathis-Taylor,AI-Powered Security,12 months,HIPAA,99.99%,90,22271,3321,25592,0.06500504230452524,0.758673884686781,0.09757916957626944
"Leonard, Harris and Taylor",AI-Powered Security,12 months,HIPAA,99.95%,60,19963,2285,22248,0.13358267231541984,0.4295666328071286,0.5337763937350376
Flores and Sons,Multi-Cloud Management,36 months,FedRAMP,99.95%,90,39337,1845,41182,0.12477988051098074,0.09553560936164496,0.1112612473094684
Bishop Ltd,Multi-Cloud Management,24 months,FedRAMP,99.9%,90,22162,2526,24688,0.125243139334896,0.3586234070232488,0.45503261912199444
Robertson-Gates,AI-Powered Security,12 months,FedRAMP,99.95%,30,23899,1338,25237,0.10481321833238127,0.6921797335437422,0.5062392665971579
Logan Inc,Multi-Cloud Management,36 months,FedRAMP,99.95%,30,33264,4535,37799,0.14248872358710818,0.027689886758775373,0.13946546366518153
"Miller, Clay and Hicks",AI-Powered Security,24 months,FedRAMP,99.99%,45,32800,1664,34464,0.1166718215165876,0.2452299582316788,0.7680324542540824
Johnson Group,AI-Powered Security,36 months,HIPAA,99.99%,45,19759,2980,22739,0.11610313844476214,0.04293615486771707,0.42798617221259116
"Johnson, Benton and Gibson",Cloud Optimization,24 months,ISO 27001,99.95%,60,18340,3488,21828,0.13392459393948591,0.8050955026240895,0.6367208451363918
Campos Inc,Multi-Cloud Management,12 months,HIPAA,99.9%,30,37992,1059,39051,0.0787827377446351,0.7240972427723847,0.019689311975751078
Mcdonald-Brown,AI-Powered Security,36 months,FedRAMP,99.95%,45,25436,4208,29644,0.12143719534069292,0.95860855004442,0.37016335563637726
"Johnson, Smith and Barnett",Multi-Cloud Management,36 months,ISO 27001,99.95%,30,21199,3211,24410,0.04452780514199776,0.15240692003788137,0.13808365660200905
"Lloyd, Hall and Jackson",Cloud Optimization,36 months,HIPAA,99.9%,30,20582,2998,23580,0.1442368456558374,0.5784732510018857,0.987595774513281
Singh-Garcia,AI-Powered Security,24 months,HIPAA,99.95%,90,32739,4138,36877,0.021474706166636874,0.9450791978078319,0.9868106817987558
"Turner, Douglas and Dean",AI-Powered Security,24 months,ISO 27001,99.99%,30,32991,2377,35368,0.01381050685633538,0.05564077268773793,0.8009858684847359
"Hansen, Walker and Garner",Multi-Cloud Management,12 months,ISO 27001,99.9%,60,26590,932,27522,0.09893952405882224,0.8565844442274576,0.07564468065734964
Chen-Morton,Cloud Optimization,36 months,FedRAMP,99.99%,60,19318,1457,20775,0.14073818665727558,0.012409715060159532,0.17232790234072504
Aguirre LLC,AI-Powered Security,24 months,ISO 27001,99.9%,45,31490,1048,32538,0.005344469308520899,0.9356551294095445,0.5861203488054969
"Rhodes, Jordan and Valentine",Multi-Cloud Management,12 months,HIPAA,99.95%,90,25295,4572,29867,0.1387308383150115,0.9203763503214917,0.287905904397483
Lambert and Sons,Multi-Cloud Management,24 months,FedRAMP,99.99%,90,39999,2287,42286,0.09461324970611514,0.5040749468400884,0.5266893589263512
Brady Ltd,Cloud Optimization,36 months,FedRAMP,99.9%,90,17112,3121,20233,0.009461276151445009,0.789143951292912,0.5295630936483372
Wall-Leblanc,Cloud Optimization,36 months,ISO 27001,99.9%,60,21171,737,21908,0.06566992969121603,0.5545806715356244,0.7998294540499016
Sharp Ltd,Cloud Optimization,36 months,SOC2,99.9%,60,24327,4444,28771,0.012420641207181865,0.8277197477910081,0.6319574653900288
Tucker Ltd,Multi-Cloud Management,12 months,SOC2,99.95%,60,27529,4769,32298,0.0949925270459532,0.18323071874215557,0.008866278133623395
Howell Group,Cloud Optimization,36 months,ISO 27001,99.9%,90,27911,1077,28988,0.13459448827999418,0.021080660428536957,0.8586495789026308
Frederick Group,AI-Powered Security,12 months,ISO 27001,99.99%,90,31854,1246,33100,0.09828487268645161,0.34031740429819146,0.32255923663326835
Lewis-Dominguez,Cloud Optimization,36 months,FedRAMP,99.95%,45,16020,1347,17367,0.12372026871512509,0.994253319086536,0.16819078442825464
Clark LLC,Multi-Cloud Management,12 months,SOC2,99.9%,45,26170,4386,30556,0.0558549447342904,0.37157310851620007,0.19503023178915435
Day-Hebert,Cloud Optimization,24 months,ISO 27001,99.9%,60,20447,1084,21531,0.03650287410503981,0.04011657828851545,0.9854373843696602
"Hodges, Avila and Sharp",Cloud Optimization,12 months,HIPAA,99.9%,60,16892,2929,19821,0.032230676077370186,0.8890962427162395,0.9933608550547434
Jones-Clayton,AI-Powered Security,24 months,FedRAMP,99.95%,60,25329,805,26134,0.12079181779926179,0.13940344201150467,0.41866461346187267
"Patterson, Lee and Butler",Cloud Optimization,12 months,ISO 27001,99.95%,60,25931,3414,29345,0.14798201479601758,0.9117963987583829,0.717296077573428
Fitzpatrick PLC,Cloud Optimization,24 months,SOC2,99.9%,45,17235,3299,20534,0.035327584168730324,0.2444394459716932,0.6167299353754057
White Inc,Cloud Optimization,12 months,SOC2,99.95%,60,20789,3031,23820,0.05190036194584146,0.4512054082123965,0.7485589856706767
King-Cain,Cloud Optimization,36 months,SOC2,99.99%,60,25008,2280,27288,0.0702614317536538,0.8852828290969004,0.36159026642030967
Friedman-Evans,Multi-Cloud Management,12 months,HIPAA,99.99%,30,31274,2215,33489,0.05912556818752593,0.17010688201207602,0.4949116047766605
Barron Inc,Multi-Cloud Management,12 months,FedRAMP,99.9%,45,34965,3736,38701,0.046381160479399,0.3747043699671896,0.4691029749514899
"Ayala, Aguilar and Thompson",Cloud Optimization,24 months,FedRAMP,99.9%,60,20644,1615,22259,0.12395388152625061,0.45213905512244745,0.5236943322446882
Hansen-Flores,Multi-Cloud Management,12 months,FedRAMP,99.95%,60,29546,3776,33322,0.08820821487702234,0.22941199123460632,0.6451370408192583
Rivera-Barnes,AI-Powered Security,12 months,SOC2,99.9%,60,33357,2682,36039,0.02753443621798631,0.28488863890306104,0.4166318501194115
"Garcia, Keith and Jones",Multi-Cloud Management,12 months,FedRAMP,99.95%,60,27749,3575,31324,0.1368299850744302,0.9683597815096939,0.6561450425593582
"Lopez, Forbes and Morgan",AI-Powered Security,24 months,ISO 27001,99.95%,45,25087,1132,26219,0.0687607579545793,0.8486277987209782,0.7586485927424472
Castro PLC,AI-Powered Security,12 months,FedRAMP,99.95%,90,34097,709,34806,0.14775507675089394,0.8892854620742633,0.771313633225014
Moody Inc,AI-Powered Security,12 months,ISO 27001,99.9%,45,34110,3023,37133,0.0649765573463831,0.14335015405372142,0.16809744776660984
Williams and Sons,Cloud Optimization,12 months,HIPAA,99.95%,45,28132,4481,32613,0.06938009780674508,0.4189408420801276,0.779336265319487
Drake LLC,Cloud Optimization,36 months,FedRAMP,99.95%,45,16848,2384,19232,0.020201222698799464,0.8476451466520427,0.5927006378378993
Burns-Adams,AI-Powered Security,36 months,FedRAMP,99.99%,60,22302,2043,24345,0.03197463035878622,0.11675296715800854,0.41539342996879836
"Villarreal, Davis and Wall",AI-Powered Security,36 months,SOC2,99.9%,90,28206,3972,32178,0.11519063274270167,0.8529243581784497,0.7788926451025717
Velez Inc,AI-Powered Security,24 months,HIPAA,99.99%,90,20415,3291,23706,0.0013233883395511736,0.48571537939600706,0.8376706294551841
Bowen-Chung,Cloud Optimization,36 months,HIPAA,99.95%,90,21028,3249,24277,0.0469481571270682,0.5875564019858786,0.6793155399660034
"Murphy, Barrett and Martin",Cloud Optimization,36 months,SOC2,99.95%,30,15189,4060,19249,0.04150049132686229,0.655948710838392,0.11984066154120387
Velez Inc,AI-Powered Security,36 months,HIPAA,99.9%,30,27909,1855,29764,0.027680257610496615,0.27320350605023247,0.4089865037338344
Turner-Gilmore,Multi-Cloud Management,24 months,SOC2,99.9%,45,33601,2214,35815,0.09267887310933838,0.7869900833848252,0.3342633747792092
Williamson and Sons,Cloud Optimization,36 months,ISO 27001,99.9%,90,29621,3331,32952,0.08136151930174629,0.3711116637765881,0.6974990360370945
Garcia Ltd,Cloud Optimization,12 months,ISO 27001,99.99%,90,25558,1026,26584,0.14763746497369354,0.8416752092714888,0.7890048845606946
Castro-Gomez,Cloud Optimization,36 months,ISO 27001,99.95%,45,29191,1347,30538,0.13774541130146592,0.8582797228559551,0.19904430582035237
Williamson LLC,AI-Powered Security,12 months,SOC2,99.99%,45,30751,4909,35660,0.0832414333876705,0.779711525180385,0.1168347364106812
Wallace PLC,Multi-Cloud Management,24 months,HIPAA,99.95%,45,22816,1598,24414,0.016534936308184905,0.7893796334619244,0.16810254980518002
"Evans, Douglas and Ferguson",Multi-Cloud Management,24 months,FedRAMP,99.99%,90,39329,1377,40706,0.028618839821375808,0.8071797702024911,0.657494059256251
Rios-Garcia,Multi-Cloud Management,12 months,FedRAMP,99.95%,30,22403,570,22973,0.01860044919362138,0.9218536737859097,0.17293151463944534
Young Ltd,AI-Powered Security,36 months,ISO 27001,99.9%,45,27821,4788,32609,0.05824466669228085,0.2551153933380007,0.39913170240003093
"Vargas, Ramirez and Davis",Multi-Cloud Management,24 months,ISO 27001,99.99%,30,38732,3536,42268,0.09372347131401566,0.9880866567365598,0.4384188647019115
Phelps PLC,Cloud Optimization,36 months,ISO 27001,99.99%,30,22358,1571,23929,0.051830362552293924,0.3721201960080287,0.6097313531899208
Werner-Holt,Cloud Optimization,24 months,SOC2,99.95%,60,17977,1462,19439,0.13986416744682229,0.9693301253516604,0.12537888410818765
"Jones, Lynch and Parker",Cloud Optimization,12 months,ISO 27001,99.9%,60,27934,4193,32127,0.12003513208997439,0.5232315278655318,0.1881483485465556
Murphy-Frye,AI-Powered Security,24 months,ISO 27001,99.9%,30,23868,631,24499,0.017009749101736308,0.43372706264601624,0.4572997979968979
Miller-Castro,Multi-Cloud Management,36 months,HIPAA,99.99%,30,36439,4164,40603,0.13089182623163778,0.30139837741718245,0.15926169434109438
Obrien Inc,AI-Powered Security,12 months,FedRAMP,99.95%,30,30132,3466,33598,0.04123071421382297,0.6776131755426114,0.03843309743246981
"Park, Jones and Collins",Multi-Cloud Management,24 months,SOC2,99.99%,60,36524,3393,39917,0.1472312089566469,0.1993238589505738,0.06525518912500594
"Davis, Franklin and Cisneros",Multi-Cloud Management,12 months,ISO 27001,99.9%,45,25318,2529,27847,0.14670512833285274,0.8299223129834905,0.6590341330833237
"Shaw, Allen and Bentley",Cloud Optimization,36 months,FedRAMP,99.9%,45,17946,3736,21682,0.13193448564191718,0.5800435552980984,0.4446055992361009
Dougherty-Griffin,Cloud Optimization,24 months,SOC2,99.95%,30,20693,4382,25075,0.1389122020180378,0.45560253750166213,0.3633337819162643
