Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk,Market Price Trends
"Butler, Blackwell and Robinson",Multi-Cloud Management,36 months,ISO 27001,99.95%,90,37886,4967,42853,0.0051605441571441,0.4143696079065575,0.194634032757856,Decreasing
"Howe, Peterson and Castillo",AI-Powered Security,12 months,FedRAMP,99.99%,45,32082,598,32680,0.0032159799934669,0.7386526505881421,0.958786643940408,Stable
"Mills, Ortiz and Gray",AI-Powered Security,24 months,FedRAMP,99.95%,90,33903,4028,37931,0.0206458497062046,0.4186070092930494,0.8501924001952541,Stable
"Griffin, Willis and Mccarthy",Multi-Cloud Management,24 months,ISO 27001,99.9%,45,37180,2457,39637,0.1157324902931725,0.0646655438505706,0.621125299090829,Decreasing
"Moreno, Forbes and Ward",Cloud Optimization,24 months,SOC2,99.95%,90,28615,1291,29906,0.0847267653325727,0.7474929558814,0.4446252400615428,Increasing
"Coleman, Mendez and Dyer",Multi-Cloud Management,36 months,FedRAMP,99.99%,45,26349,4397,30746,0.0978519371374707,0.9115796012522188,0.3794453868809514,Decreasing
Pierce-Randall,AI-Powered Security,12 months,ISO 27001,99.9%,30,19335,612,19947,0.1253043531268338,0.6157925521013854,0.6337884195450022,Stable
Meyer Ltd,AI-Powered Security,24 months,SOC2,99.99%,45,32548,752,33300,0.1018269577543292,0.747461603481754,0.1153190332378768,Stable
Vasquez and Sons,Cloud Optimization,24 months,ISO 27001,99.99%,45,24352,2794,27146,0.0655944025750335,0.7320982558011316,0.6833886331434175,Decreasing
Smith and Sons,AI-Powered Security,12 months,HIPAA,99.9%,45,33587,2333,35920,0.0075863349118515,0.4933002162389591,0.2959926251439669,Decreasing
Lawson-Reese,AI-Powered Security,24 months,FedRAMP,99.99%,30,33436,1635,35071,0.0465024533732773,0.3927501835387099,0.3565562236883562,Increasing
Barry PLC,Multi-Cloud Management,12 months,ISO 27001,99.9%,30,34343,3743,38086,0.0848165249348014,0.4362893592936943,0.5399482272213844,Stable
Davis-Torres,Cloud Optimization,24 months,ISO 27001,99.95%,45,21092,3406,24498,0.1301742753247398,0.6442414008259819,0.0203408310676009,Decreasing
Hernandez PLC,Cloud Optimization,24 months,FedRAMP,99.9%,60,27049,3685,30734,0.0386116845295058,0.3814410821056089,0.356166965314443,Stable
"Navarro, Gonzalez and Cooper",AI-Powered Security,12 months,FedRAMP,99.9%,90,33077,1005,34082,0.1218603726046972,0.4764832078552704,0.8527299652785476,Stable
Warren-Zimmerman,AI-Powered Security,36 months,SOC2,99.95%,30,21335,4874,26209,0.1454888360348915,0.634453139755603,0.7640555898524384,Decreasing
"Powers, Huffman and Rodriguez",AI-Powered Security,24 months,FedRAMP,99.95%,45,22858,2463,25321,0.054087746488237,0.8724556312513081,0.8766795187083262,Stable
"Turner, Hall and Solomon",AI-Powered Security,36 months,FedRAMP,99.9%,45,22806,1369,24175,0.0830557084333058,0.9380281273644674,0.7239998741195626,Decreasing
"Hubbard, Santiago and Bell",Cloud Optimization,24 months,SOC2,99.95%,90,28606,3453,32059,0.061601437242405,0.2796614070149861,0.6097240475222925,Decreasing
Smith-White,Multi-Cloud Management,12 months,ISO 27001,99.9%,45,38222,1860,40082,0.1324217698301056,0.1841300230811848,0.8403615053853187,Increasing
Mason-Franco,Cloud Optimization,24 months,ISO 27001,99.9%,30,21452,761,22213,0.0107157574513242,0.7262864640181202,0.5110526677945765,Increasing
"Stout, Moody and Griffin",Cloud Optimization,24 months,SOC2,99.99%,30,19782,4352,24134,0.0330194131253646,0.8363692930100863,0.6899911963543062,Stable
Rodriguez-Soto,Multi-Cloud Management,24 months,SOC2,99.95%,30,32523,4813,37336,0.0393684454477335,0.3285921630280548,0.1079057172229761,Stable
Silva and Sons,Cloud Optimization,36 months,SOC2,99.9%,30,24109,1633,25742,0.1439892180875252,0.3350491709384824,0.778545821422689,Stable
Johnson-Strong,AI-Powered Security,24 months,SOC2,99.9%,60,28961,1821,30782,0.0310608263085365,0.3770354967931787,0.0080582888955351,Increasing
"Thomas, Rasmussen and Duke",Multi-Cloud Management,12 months,ISO 27001,99.95%,60,39865,1448,41313,0.0971373816406467,0.0036129325342386,0.2536942950885119,Stable
Crawford LLC,Multi-Cloud Management,12 months,HIPAA,99.95%,60,27749,4222,31971,0.0168302050148464,0.9905652127567348,0.2803941785903505,Stable
Morrow PLC,Multi-Cloud Management,36 months,SOC2,99.95%,60,23405,3170,26575,0.0520450613436725,0.2083852032564518,0.4456206920999321,Stable
Chapman-Goodman,Cloud Optimization,24 months,FedRAMP,99.95%,60,23396,4079,27475,0.0583146978175365,0.3869990592543089,0.5035817774144603,Increasing
Jones-White,Cloud Optimization,12 months,FedRAMP,99.95%,45,29145,1590,30735,0.1190162387058198,0.0343321711428532,0.9825642005854271,Decreasing
"Hart, Black and Lee",AI-Powered Security,24 months,HIPAA,99.9%,90,25645,1778,27423,0.0419152755470344,0.241031737903611,0.4975200104534457,Decreasing
"Mills, Cruz and Phillips",Cloud Optimization,36 months,ISO 27001,99.9%,45,24278,4840,29118,0.1307371087881724,0.0338212875715192,0.4043300593475422,Decreasing
Elliott-Wilson,AI-Powered Security,24 months,FedRAMP,99.9%,60,19151,1717,20868,0.0367730919157115,0.5056657430843782,0.0323452879188975,Stable
Cole-Green,AI-Powered Security,24 months,SOC2,99.95%,45,30541,4878,35419,0.1030914917580647,0.3204499303747612,0.1987366638701567,Decreasing
Bradley-Mays,Multi-Cloud Management,36 months,SOC2,99.9%,60,29950,597,30547,0.1407177495895053,0.9662537072400896,0.9738018532829988,Stable
Wheeler and Sons,Multi-Cloud Management,36 months,ISO 27001,99.95%,90,22569,2272,24841,0.0837414786605873,0.8613627189565668,0.8311347654036959,Decreasing
Christian Group,Multi-Cloud Management,36 months,FedRAMP,99.95%,30,31800,1239,33039,0.0196734335947888,0.96929466204908,0.984139647041736,Stable
"Ramirez, Cox and Stanton",AI-Powered Security,12 months,SOC2,99.95%,60,27958,2341,30299,0.0067065411832344,0.2680089836852235,0.053776905333052,Stable
Hernandez-Miller,Multi-Cloud Management,12 months,SOC2,99.95%,45,36234,1571,37805,0.0829411122283878,0.8593602247528214,0.1015721436446612,Decreasing
Ortiz and Sons,Cloud Optimization,12 months,FedRAMP,99.95%,30,19174,4444,23618,0.0078983639176619,0.1417038380273718,0.5982487928791823,Increasing
Hart Group,Multi-Cloud Management,24 months,FedRAMP,99.9%,30,36845,3401,40246,0.0474226037667492,0.4839034930218414,0.8140548723120092,Increasing
"Carpenter, Roberts and Weber",Cloud Optimization,24 months,HIPAA,99.95%,60,27011,3843,30854,0.0044671180981381,0.9335243127166306,0.5267497498807476,Stable
Knight-Harris,Multi-Cloud Management,36 months,FedRAMP,99.99%,90,39266,3311,42577,0.0600624691756241,0.6382509853969889,0.8857616941126193,Increasing
Fernandez Group,AI-Powered Security,24 months,FedRAMP,99.95%,45,27729,2837,30566,0.1358364088494853,0.159642867815183,0.0285948383594423,Decreasing
Santiago PLC,AI-Powered Security,36 months,ISO 27001,99.95%,60,33552,3228,36780,0.0157968838634713,0.6834161322937092,0.6060100737471432,Decreasing
Haynes LLC,Cloud Optimization,36 months,ISO 27001,99.99%,30,15293,3188,18481,0.0297601093868574,0.4724603288539476,0.4916133448403307,Stable
"Washington, Choi and Holland",Multi-Cloud Management,12 months,HIPAA,99.9%,60,28641,2838,31479,0.0634521669362643,0.5573450647164668,0.888592494623292,Increasing
Hill LLC,Multi-Cloud Management,24 months,SOC2,99.9%,90,30528,1735,32263,0.1485374801881799,0.3746728898419822,0.2524095850703058,Increasing
Smith PLC,Multi-Cloud Management,12 months,SOC2,99.99%,45,23683,2761,26444,0.1310563763088728,0.7894550890321684,0.6737446300480178,Stable
Smith PLC,Multi-Cloud Management,24 months,SOC2,99.99%,45,20862,4555,25417,0.0814917044877158,0.5773116331683574,0.7050172124034887,Increasing
Case and Sons,Multi-Cloud Management,24 months,SOC2,99.9%,60,32956,4064,37020,0.0713476476677455,0.6450974456426533,0.5574745489756537,Decreasing
"Morgan, Powers and Hess",AI-Powered Security,24 months,ISO 27001,99.99%,45,33437,971,34408,0.0674222947778142,0.241671225972601,0.0014182201339154,Stable
"Coleman, Moore and Gonzalez",Cloud Optimization,12 months,FedRAMP,99.9%,90,25908,1315,27223,0.0478649944855283,0.8528345731854773,0.2200950402742703,Decreasing
Williams Group,AI-Powered Security,12 months,FedRAMP,99.95%,45,25354,3029,28383,0.0381630736793301,0.0722741700411998,0.7446407963452062,Stable
Merritt-Yoder,Cloud Optimization,24 months,HIPAA,99.99%,30,17818,2369,20187,0.0429821097830725,0.9722598017417108,0.558516153160825,Increasing
"Kelly, Guerra and Russell",AI-Powered Security,12 months,ISO 27001,99.9%,60,27345,1342,28687,0.10462092479637,0.052243663695964,0.5342484229228254,Increasing
Montgomery Group,Cloud Optimization,12 months,ISO 27001,99.99%,45,25327,610,25937,0.0729850025411907,0.8631309158390641,0.4485256078824824,Increasing
"Rice, Clark and Burns",Cloud Optimization,24 months,HIPAA,99.95%,45,15105,4053,19158,0.0128496291070459,0.9468673974959648,0.2917238871803609,Stable
Pham Ltd,Multi-Cloud Management,12 months,HIPAA,99.99%,90,24074,1406,25480,0.0749106842070366,0.4747277852704834,0.1100212429914766,Stable
Bruce and Sons,Multi-Cloud Management,36 months,HIPAA,99.95%,30,37326,657,37983,0.0619488090289331,0.151341258691533,0.785331691138784,Stable
Galloway PLC,Cloud Optimization,12 months,SOC2,99.99%,45,19799,1147,20946,0.0320226875547952,0.9058691063099716,0.8990237272133664,Stable
"Bauer, Smith and Proctor",AI-Powered Security,12 months,FedRAMP,99.9%,90,33060,3361,36421,0.0625002074880142,0.2191615537379652,0.7207522182776344,Stable
Harris-Lopez,AI-Powered Security,24 months,SOC2,99.9%,30,18178,2225,20403,0.118361097432254,0.7240087921615539,0.1859632240581318,Decreasing
Bradshaw-George,Multi-Cloud Management,36 months,HIPAA,99.95%,90,21217,2974,24191,0.0408371304555706,0.080869745832106,0.65682230651421,Increasing
"Burton, Woodward and Rogers",Cloud Optimization,36 months,FedRAMP,99.99%,45,29501,927,30428,0.1017640000513105,0.7300751666033292,0.2129172856043056,Increasing
"Lyons, Stewart and Munoz",AI-Powered Security,24 months,FedRAMP,99.95%,60,29493,542,30035,0.0289131482830559,0.5747556906554043,0.3281034758418217,Increasing
Young Group,Cloud Optimization,36 months,FedRAMP,99.95%,60,20244,2196,22440,0.0722523483682788,0.0558382208764743,0.9777235118726436,Stable
"Nielsen, Watson and Collins",AI-Powered Security,24 months,HIPAA,99.9%,90,18295,913,19208,0.1138145626052816,0.1907172530047453,0.5682083407874908,Increasing
Delacruz-Turner,AI-Powered Security,24 months,HIPAA,99.9%,60,23482,4389,27871,0.0507161986889554,0.1073539746460996,0.6972196608085894,Increasing
"Clayton, Espinoza and Williams",Cloud Optimization,24 months,HIPAA,99.99%,45,23425,907,24332,0.0532699822973686,0.2810279262702024,0.2623158501655346,Increasing
Jones-Davis,Cloud Optimization,12 months,HIPAA,99.9%,30,20530,4424,24954,0.104013876302441,0.2508041325008964,0.2528337831651612,Stable
Long and Sons,Cloud Optimization,24 months,HIPAA,99.99%,90,29604,1511,31115,0.1118376507334286,0.9776677176990604,0.5948555014630229,Increasing
Ramirez-Hunter,Cloud Optimization,12 months,FedRAMP,99.95%,60,16486,3839,20325,0.1197274484362264,0.1272041193377808,0.3959410958139741,Increasing
"Barber, Jones and Crawford",Cloud Optimization,36 months,ISO 27001,99.95%,90,17503,3637,21140,0.0468758185477803,0.174410543216415,0.5890389406083405,Decreasing
Kane and Sons,AI-Powered Security,24 months,FedRAMP,99.95%,60,26428,1427,27855,0.0263267178698244,0.2471747445945176,0.9737482141179604,Increasing
"Snow, Weaver and Carr",Cloud Optimization,36 months,FedRAMP,99.95%,90,29701,1750,31451,0.005211321888349,0.4687335268214602,0.398659287518412,Stable
Taylor-Rivera,Cloud Optimization,36 months,FedRAMP,99.9%,30,22216,4020,26236,0.0936837953876091,0.9629759423644856,0.8315349724468752,Decreasing
Ellison and Sons,Multi-Cloud Management,12 months,HIPAA,99.99%,60,21567,1594,23161,0.0196521831650421,0.6989851081744856,0.4562400440533355,Decreasing
Dillon-Pierce,Multi-Cloud Management,12 months,HIPAA,99.99%,30,34038,1854,35892,0.1477514621744169,0.0962505832377256,0.2857314285657812,Stable
"Butler, Carr and Gill",Cloud Optimization,12 months,FedRAMP,99.99%,45,21973,3534,25507,0.1221441779021328,0.7530102006876256,0.913735675109942,Increasing
Robertson-Lambert,AI-Powered Security,36 months,HIPAA,99.9%,30,25994,4031,30025,0.0066516318843508,0.3224412708166363,0.5691747911964067,Increasing
Conner LLC,Cloud Optimization,12 months,ISO 27001,99.95%,60,20482,1832,22314,0.0301617281690807,0.9072470690754986,0.2639667367355925,Decreasing
"Orr, Dudley and Flores",AI-Powered Security,36 months,FedRAMP,99.99%,90,26709,1938,28647,0.0155246255390351,0.2535061889250146,0.9189793255003984,Stable
Chambers-Armstrong,Cloud Optimization,24 months,SOC2,99.95%,90,26341,1281,27622,0.1146598803843861,0.8398595726740419,0.2921768033820449,Increasing
Morris PLC,AI-Powered Security,12 months,HIPAA,99.99%,60,29967,2082,32049,0.0240113488453052,0.0977041036905934,0.5209845425084006,Stable
Brown Group,Cloud Optimization,12 months,FedRAMP,99.95%,90,19930,4853,24783,0.0774493083762962,0.6915703777680562,0.047925175956024,Increasing
Boyd and Sons,Cloud Optimization,24 months,HIPAA,99.95%,30,22935,3175,26110,0.0162791685836832,0.5246913414192697,0.7584085300912828,Decreasing
Browning-Martinez,Cloud Optimization,24 months,SOC2,99.9%,30,29959,2194,32153,0.0259688158747733,0.0478110637024797,0.2464598696375051,Decreasing
"Graham, Weber and Morrison",AI-Powered Security,12 months,ISO 27001,99.95%,90,19460,4387,23847,0.110249465744186,0.0618614243832937,0.7446314438540483,Increasing
Bryant-White,AI-Powered Security,24 months,HIPAA,99.9%,60,20369,1305,21674,0.0464669349971694,0.8730063079555649,0.3369138365914604,Increasing
Lopez LLC,Cloud Optimization,12 months,ISO 27001,99.9%,60,21372,2126,23498,0.1423195068837989,0.3571575895762282,0.6518649476671875,Decreasing
Sanders LLC,AI-Powered Security,24 months,SOC2,99.99%,90,34240,1758,35998,0.1054348924235121,0.0867432726233525,0.1170445813767695,Stable
"Wilson, Henderson and Molina",Multi-Cloud Management,12 months,FedRAMP,99.9%,45,24882,4892,29774,0.0969895925703705,0.350718509454251,0.2733839181137786,Stable
"Brown, Coleman and Hansen",Cloud Optimization,12 months,ISO 27001,99.9%,45,24923,2946,27869,0.1396066833498815,0.7622325620441929,0.5204087646825987,Stable
Curtis Group,Multi-Cloud Management,36 months,ISO 27001,99.95%,60,25059,4828,29887,0.0975832468218359,0.3948665231442921,0.6083842168165255,Stable
"Weaver, Nash and Martinez",Cloud Optimization,36 months,ISO 27001,99.99%,60,16865,4811,21676,0.0155428181497449,0.8370744458190945,0.5503023934359592,Stable
"Brown, Johnson and Odom",Multi-Cloud Management,12 months,HIPAA,99.99%,60,29262,4987,34249,0.0178949370902718,0.1028085617358539,0.0774872901357495,Stable
Vaughn-Smith,AI-Powered Security,36 months,HIPAA,99.9%,60,33939,4325,38264,0.0746907080093409,0.3988366148397557,0.7503889270907016,Decreasing
Aguirre-Peters,AI-Powered Security,24 months,HIPAA,99.99%,60,27622,2413,30035,0.0111593528646277,0.0209063544002686,0.9515290453762564,Decreasing
Hughes Group,Cloud Optimization,12 months,FedRAMP,99.99%,45,27948,1634,29582,0.1105369797956273,0.6939870698193193,0.3368499969353766,Increasing
"Young, Miles and Cooper",Multi-Cloud Management,12 months,HIPAA,99.95%,60,28774,2321,31095,0.1036211436459102,0.5749706273967218,0.1767602291010492,Increasing
Shah-Peters,Multi-Cloud Management,36 months,ISO 27001,99.95%,30,32137,2826,34963,0.0245981957938305,0.4634777312306678,0.6056532718215968,Decreasing
Schwartz PLC,AI-Powered Security,36 months,SOC2,99.9%,60,26361,3245,29606,0.048145903916325,0.4193469939259066,0.5939374438586043,Increasing
"Barnes, Macdonald and Green",Cloud Optimization,36 months,ISO 27001,99.95%,45,25340,2188,27528,0.0648154346117442,0.5519012184951724,0.8332217713715006,Stable
"Weber, Johnson and Hall",Cloud Optimization,24 months,HIPAA,99.99%,90,17796,2993,20789,0.1019816230834632,0.2653511716753909,0.3303450917649919,Decreasing
Wood LLC,Cloud Optimization,12 months,HIPAA,99.99%,45,29468,4098,33566,0.069791785801801,0.656731206223462,0.1467005758336599,Increasing
"Hall, Mcdonald and Rich",Multi-Cloud Management,24 months,ISO 27001,99.95%,90,22438,3483,25921,0.1344872003945983,0.299913048477067,0.1818269962411515,Stable
"Bailey, Lloyd and Buckley",Multi-Cloud Management,12 months,ISO 27001,99.9%,90,32222,2677,34899,0.0910986888386588,0.0002406697429022,0.8054737346798247,Stable
Davis-Moss,Cloud Optimization,36 months,FedRAMP,99.99%,45,18667,1553,20220,0.0280767913482735,0.8006236564128154,0.97215650953475,Decreasing
"Hart, Clarke and Young",AI-Powered Security,24 months,ISO 27001,99.95%,30,29140,2127,31267,0.1213857107512021,0.551704752595235,0.3167486486502119,Decreasing
Anderson LLC,AI-Powered Security,36 months,HIPAA,99.9%,90,21520,3811,25331,0.1240385863450291,0.1563172213992378,0.3438129036350894,Stable
Stevens-Anderson,AI-Powered Security,36 months,SOC2,99.95%,60,21730,4865,26595,0.0454065853686406,0.4860450744832292,0.4220235659696871,Decreasing
Ross-Rice,AI-Powered Security,24 months,SOC2,99.95%,60,27260,1341,28601,0.0094978870458481,0.9859616844014174,0.031534628131224,Stable
Brown PLC,Multi-Cloud Management,36 months,FedRAMP,99.99%,30,25614,3594,29208,0.1469093595399359,0.2577658868622231,0.4588413396027831,Increasing
Sanchez LLC,Multi-Cloud Management,12 months,SOC2,99.95%,30,38637,4161,42798,0.0372594913100907,0.7589344062270534,0.1182381757262632,Stable
Carney Group,AI-Powered Security,24 months,FedRAMP,99.95%,45,34279,3799,38078,0.133015876281364,0.7319041990130318,0.5609272460442614,Decreasing
Lee LLC,Cloud Optimization,36 months,SOC2,99.99%,45,28821,4166,32987,0.0090127735834097,0.9729019711967064,0.4654389706003231,Decreasing
"Hess, Bradshaw and Roberts",Multi-Cloud Management,36 months,SOC2,99.99%,90,31336,4810,36146,0.1134903747440781,0.8324894744194485,0.8805824431209666,Increasing
Murphy Ltd,Multi-Cloud Management,24 months,ISO 27001,99.99%,60,30864,4146,35010,0.1010645751944661,0.386908357684349,0.6828276445685459,Decreasing
"Clark, Burns and Sharp",AI-Powered Security,12 months,ISO 27001,99.99%,30,23432,1187,24619,0.019814760259311,0.1266198290450236,0.8154294940115683,Decreasing
Owens and Sons,Multi-Cloud Management,36 months,ISO 27001,99.99%,30,26891,2624,29515,0.078105567305942,0.829037614742618,0.0398390908380597,Stable
Morgan LLC,Multi-Cloud Management,36 months,FedRAMP,99.95%,30,23209,4049,27258,0.1128542163596088,0.7927004505613187,0.2330330533502402,Increasing
Morrison PLC,Cloud Optimization,12 months,FedRAMP,99.99%,60,16712,2829,19541,0.0691433271169774,0.7083908550348353,0.089711376053034,Decreasing
Bridges-Sweeney,Cloud Optimization,24 months,SOC2,99.95%,30,15300,4482,19782,0.0220384540650909,0.5731349346540705,0.9774742783005704,Stable
Bryan-Jacobson,Multi-Cloud Management,24 months,ISO 27001,99.95%,90,33818,1889,35707,0.060628820128002,0.7018555106506201,0.0388045240309451,Increasing
Larsen Group,AI-Powered Security,36 months,FedRAMP,99.95%,30,27131,3682,30813,0.0178650086414033,0.0804432002093342,0.1565078990804564,Decreasing
Stein LLC,Cloud Optimization,36 months,SOC2,99.9%,30,22675,622,23297,0.0662260114933756,0.5181849423431099,0.5218157013832556,Increasing
Wise-Phillips,Cloud Optimization,36 months,HIPAA,99.95%,45,29448,2972,32420,0.1057180480260397,0.3210134439286336,0.5756613962717123,Increasing
"Quinn, Weber and Parsons",Multi-Cloud Management,36 months,SOC2,99.95%,45,29454,1862,31316,0.0874085760925873,0.1492111479631686,0.8376369886828723,Decreasing
Mathis-Taylor,AI-Powered Security,12 months,HIPAA,99.99%,90,22271,3321,25592,0.0650050423045252,0.758673884686781,0.0975791695762694,Stable
"Leonard, Harris and Taylor",AI-Powered Security,12 months,HIPAA,99.95%,60,19963,2285,22248,0.1335826723154198,0.4295666328071286,0.5337763937350376,Decreasing
Flores and Sons,Multi-Cloud Management,36 months,FedRAMP,99.95%,90,39337,1845,41182,0.1247798805109807,0.0955356093616449,0.1112612473094684,Decreasing
Bishop Ltd,Multi-Cloud Management,24 months,FedRAMP,99.9%,90,22162,2526,24688,0.125243139334896,0.3586234070232488,0.4550326191219944,Decreasing
Robertson-Gates,AI-Powered Security,12 months,FedRAMP,99.95%,30,23899,1338,25237,0.1048132183323812,0.6921797335437422,0.5062392665971579,Stable
Logan Inc,Multi-Cloud Management,36 months,FedRAMP,99.95%,30,33264,4535,37799,0.1424887235871081,0.0276898867587753,0.1394654636651815,Stable
"Miller, Clay and Hicks",AI-Powered Security,24 months,FedRAMP,99.99%,45,32800,1664,34464,0.1166718215165876,0.2452299582316788,0.7680324542540824,Increasing
Johnson Group,AI-Powered Security,36 months,HIPAA,99.99%,45,19759,2980,22739,0.1161031384447621,0.042936154867717,0.4279861722125911,Decreasing
"Johnson, Benton and Gibson",Cloud Optimization,24 months,ISO 27001,99.95%,60,18340,3488,21828,0.1339245939394859,0.8050955026240895,0.6367208451363918,Stable
Campos Inc,Multi-Cloud Management,12 months,HIPAA,99.9%,30,37992,1059,39051,0.0787827377446351,0.7240972427723847,0.019689311975751,Increasing
Mcdonald-Brown,AI-Powered Security,36 months,FedRAMP,99.95%,45,25436,4208,29644,0.1214371953406929,0.95860855004442,0.3701633556363772,Decreasing
"Johnson, Smith and Barnett",Multi-Cloud Management,36 months,ISO 27001,99.95%,30,21199,3211,24410,0.0445278051419977,0.1524069200378813,0.138083656602009,Stable
"Lloyd, Hall and Jackson",Cloud Optimization,36 months,HIPAA,99.9%,30,20582,2998,23580,0.1442368456558374,0.5784732510018857,0.987595774513281,Stable
Singh-Garcia,AI-Powered Security,24 months,HIPAA,99.95%,90,32739,4138,36877,0.0214747061666368,0.945079197807832,0.9868106817987558,Decreasing
"Turner, Douglas and Dean",AI-Powered Security,24 months,ISO 27001,99.99%,30,32991,2377,35368,0.0138105068563353,0.0556407726877379,0.8009858684847359,Increasing
"Hansen, Walker and Garner",Multi-Cloud Management,12 months,ISO 27001,99.9%,60,26590,932,27522,0.0989395240588222,0.8565844442274576,0.0756446806573496,Increasing
Chen-Morton,Cloud Optimization,36 months,FedRAMP,99.99%,60,19318,1457,20775,0.1407381866572755,0.0124097150601595,0.172327902340725,Stable
Aguirre LLC,AI-Powered Security,24 months,ISO 27001,99.9%,45,31490,1048,32538,0.0053444693085208,0.9356551294095444,0.5861203488054969,Decreasing
"Rhodes, Jordan and Valentine",Multi-Cloud Management,12 months,HIPAA,99.95%,90,25295,4572,29867,0.1387308383150115,0.9203763503214916,0.287905904397483,Increasing
Lambert and Sons,Multi-Cloud Management,24 months,FedRAMP,99.99%,90,39999,2287,42286,0.0946132497061151,0.5040749468400884,0.5266893589263512,Stable
Brady Ltd,Cloud Optimization,36 months,FedRAMP,99.9%,90,17112,3121,20233,0.009461276151445,0.789143951292912,0.5295630936483372,Decreasing
Wall-Leblanc,Cloud Optimization,36 months,ISO 27001,99.9%,60,21171,737,21908,0.065669929691216,0.5545806715356244,0.7998294540499016,Stable
Sharp Ltd,Cloud Optimization,36 months,SOC2,99.9%,60,24327,4444,28771,0.0124206412071818,0.8277197477910081,0.6319574653900288,Decreasing
Tucker Ltd,Multi-Cloud Management,12 months,SOC2,99.95%,60,27529,4769,32298,0.0949925270459532,0.1832307187421555,0.0088662781336233,Decreasing
Howell Group,Cloud Optimization,36 months,ISO 27001,99.9%,90,27911,1077,28988,0.1345944882799941,0.0210806604285369,0.8586495789026308,Increasing
Frederick Group,AI-Powered Security,12 months,ISO 27001,99.99%,90,31854,1246,33100,0.0982848726864516,0.3403174042981914,0.3225592366332683,Decreasing
Lewis-Dominguez,Cloud Optimization,36 months,FedRAMP,99.95%,45,16020,1347,17367,0.123720268715125,0.994253319086536,0.1681907844282546,Decreasing
Clark LLC,Multi-Cloud Management,12 months,SOC2,99.9%,45,26170,4386,30556,0.0558549447342904,0.3715731085162,0.1950302317891543,Stable
Day-Hebert,Cloud Optimization,24 months,ISO 27001,99.9%,60,20447,1084,21531,0.0365028741050398,0.0401165782885154,0.9854373843696602,Stable
"Hodges, Avila and Sharp",Cloud Optimization,12 months,HIPAA,99.9%,60,16892,2929,19821,0.0322306760773701,0.8890962427162395,0.9933608550547434,Stable
Jones-Clayton,AI-Powered Security,24 months,FedRAMP,99.95%,60,25329,805,26134,0.1207918177992617,0.1394034420115046,0.4186646134618726,Decreasing
"Patterson, Lee and Butler",Cloud Optimization,12 months,ISO 27001,99.95%,60,25931,3414,29345,0.1479820147960175,0.9117963987583828,0.717296077573428,Increasing
Fitzpatrick PLC,Cloud Optimization,24 months,SOC2,99.9%,45,17235,3299,20534,0.0353275841687303,0.2444394459716932,0.6167299353754057,Increasing
White Inc,Cloud Optimization,12 months,SOC2,99.95%,60,20789,3031,23820,0.0519003619458414,0.4512054082123965,0.7485589856706767,Decreasing
King-Cain,Cloud Optimization,36 months,SOC2,99.99%,60,25008,2280,27288,0.0702614317536538,0.8852828290969004,0.3615902664203096,Stable
Friedman-Evans,Multi-Cloud Management,12 months,HIPAA,99.99%,30,31274,2215,33489,0.0591255681875259,0.170106882012076,0.4949116047766605,Stable
Barron Inc,Multi-Cloud Management,12 months,FedRAMP,99.9%,45,34965,3736,38701,0.046381160479399,0.3747043699671896,0.4691029749514899,Stable
"Ayala, Aguilar and Thompson",Cloud Optimization,24 months,FedRAMP,99.9%,60,20644,1615,22259,0.1239538815262506,0.4521390551224474,0.5236943322446882,Decreasing
Hansen-Flores,Multi-Cloud Management,12 months,FedRAMP,99.95%,60,29546,3776,33322,0.0882082148770223,0.2294119912346063,0.6451370408192583,Decreasing
Rivera-Barnes,AI-Powered Security,12 months,SOC2,99.9%,60,33357,2682,36039,0.0275344362179863,0.284888638903061,0.4166318501194115,Increasing
"Garcia, Keith and Jones",Multi-Cloud Management,12 months,FedRAMP,99.95%,60,27749,3575,31324,0.1368299850744302,0.968359781509694,0.6561450425593582,Increasing
"Lopez, Forbes and Morgan",AI-Powered Security,24 months,ISO 27001,99.95%,45,25087,1132,26219,0.0687607579545793,0.8486277987209782,0.7586485927424472,Stable
Castro PLC,AI-Powered Security,12 months,FedRAMP,99.95%,90,34097,709,34806,0.1477550767508939,0.8892854620742633,0.771313633225014,Increasing
Moody Inc,AI-Powered Security,12 months,ISO 27001,99.9%,45,34110,3023,37133,0.0649765573463831,0.1433501540537214,0.1680974477666098,Decreasing
Williams and Sons,Cloud Optimization,12 months,HIPAA,99.95%,45,28132,4481,32613,0.069380097806745,0.4189408420801276,0.779336265319487,Decreasing
Drake LLC,Cloud Optimization,36 months,FedRAMP,99.95%,45,16848,2384,19232,0.0202012226987994,0.8476451466520427,0.5927006378378993,Decreasing
Burns-Adams,AI-Powered Security,36 months,FedRAMP,99.99%,60,22302,2043,24345,0.0319746303587862,0.1167529671580085,0.4153934299687983,Stable
"Villarreal, Davis and Wall",AI-Powered Security,36 months,SOC2,99.9%,90,28206,3972,32178,0.1151906327427016,0.8529243581784497,0.7788926451025717,Stable
Velez Inc,AI-Powered Security,24 months,HIPAA,99.99%,90,20415,3291,23706,0.0013233883395511,0.485715379396007,0.8376706294551841,Decreasing
